,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,Genre
1218,4xOZuV9hKj0uaRgegNaE5F,Numb,3GzWhE2xadJiW8MqRKIVSK,Underoath,0vf69q9LJRJ6MK8OTJPIbZ,221626,12/8/2021,57,0.483,0.908,8,-5.836,0,0.0912,0.000402,0.574,0.153,0.299,145.99,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1219,3XXNhHnzt8aOTgd7J5maCW,Kids Against the Monsters,54okLCsuAzwltG8zHECNpm,Hyro The Hero,7JrCPgvDAbGsIgvF6p4Q9u,186459,12/3/2021,45,0.568,0.722,5,-5.297,0,0.121,0.00788,0,0.248,0.606,74.944,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1220,4RvPDeKtZxooLkO2mXW6gs,Homesick for Hope,6SiyKSeJo6gcsS2NvuAbsl,zebrahead,2fugR8H7GN4SNbXAnZwfPx,173788,11/26/2021,52,0.461,0.987,6,-3.044,1,0.215,0.0291,0,0.0708,0.511,185.046,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1221,6KyBxWFQ2qkPvgiBL3xpEC,Born Again,6O7MpKrY91vlCd4Osi6XKs,Black Veil Brides,5GMs2D82ElHRpVGbtUod3J,219865,10/29/2021,56,0.423,0.971,1,-2.541,0,0.166,0.000661,0.000862,0.227,0.395,133.098,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1222,5JjTtaOLyq48joyhVX3ksj,All I Really Know,35Uu85Pq33mK8x1jYqsHY2,Sevendust,7pRVr7VwQCl5ocbCVIqsXz,214250,12/10/2021,7,0.273,0.949,10,-4.713,0,0.287,6.08E-05,0.000274,0.678,0.501,100.333,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1223,5ABl9GeMcWog9Yrur3P9Jq,Standing in the Storm,49bzE5vRBRIota4qeHtQM8,Skillet,3cIRw4SnfPO2TXVJK8C1nG,257467,11/12/2021,61,0.575,0.957,10,-3.534,1,0.0969,0.00699,0,0.511,0.309,128.015,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1224,4LlGoVOEmGQtskdfAN415G,Light Up The Sky,4HrkLxQHZ5mgCtIVpiH5QX,From Ashes to New,1bCdN53Iv0E5euHixjKQdZ,209000,8/13/2021,55,0.336,0.949,8,-3.43,1,0.309,0.000203,0,0.33,0.244,165.935,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1225,4Mjuu75T7tGsCSlagk6Kdj,The Shower Scene,52qKfVcIV4GS8A8Vay2xtt,Ice Nine Kills,065xNC7HTTcXd7lK2cpkKh,191693,10/15/2021,44,0.376,0.944,2,-4.053,1,0.174,0.000101,1.18E-06,0.313,0.453,176.021,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1226,6GF1LMFAQpWpKNMJ5LYrrF,sorry i'm not dead,7qTUKYzO77RvL1Kxie0xUO,Dead Posey,5YW6ucfSb6mgmYhodmYtqo,220939,11/19/2021,42,0.583,0.966,5,-4.048,0,0.114,0.00835,0,0.086,0.309,110.998,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1227,2jgTCZyFY6ZqhyIcSwpuWk,Three Chords,1l9I7G8J8AnMScWQwlNJ4M,Goodbye June,4ksvsvLoQ7DwjMwDS3Uyvt,227753,11/5/2021,47,0.67,0.841,7,-5.4,1,0.0917,0.193,1.46E-06,0.236,0.654,132.064,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1228,6HtG17GT7yVuZiwhcPWPOY,Reap A Hurricane,1lsXuaLnHnfL7GoJXKkUtH,The Hellacopters,3eUtW3WFfthYpb1Amei78r,195466,12/17/2021,53,0.392,0.99,3,-4.509,0,0.123,0.000936,6.31E-05,0.123,0.336,148.033,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
